Component Key, Component Name, Avg Day Sales,Lead Time,Amount to Reorder,Current Stock,# Days until Reorder
1,TRUCK CENTER,375,7,500,18,-7
12,M6 X18 SS FH SOCKET SCREW BO,75,4,500,234,-1
13,PIVOT AXLE,75,7,1000,345,-3
14,BEARING SPACERS,300,5,500,124,-5
15,6900 LLU MAX BEARING 10 X 22 X 6,375,3,700,245,-2
16,M8 SS LOCKNUT BO (NYLON INSERT),100,4,700,108,-3
17,M8 SS FLAT WASHER BO,475,4,600,175,-4
2,TRUCK WING FW-LFT,375,7,500,29,-7
20,M10 SS 1mm SPACER-WASHER,375,5,1000,190,-4
22,TORSION SPRING 6.5 TRN/LFT-H CS,375,3,3000,2656,3
23,TORSION SPRING 6.5 TRN/RT-H CS,375,3,3000,234,-2
24,TORSION SPRING 6 TRN/LFT-H CS,375,3,3000,2330,2
25,TORSION SPRING 6 TRN/RT-H CS,375,3,3000,1557,0
26,M8 X14/16 SS SOCKET CAP BOLT BO,375,4,4000,3743,5
27,M8 SS CONICAL SPRING WASHER BO,475,4,1000,248,-3
28,URETHANE BUMPER,375,15,500,-19,-16
29,INNER BEARING SPACER,375,5,1000,506,-4
3,TRUCK WING FW-RT,375,7,500,14,-7
30,OUTER BEARING SPACER,375,5,5000,362,-4
31,"5/16""-24 AXLE LOCKNUT BO (NYLON INSERT)",375,4,3000,312,-3
32,SB-HD WHEEL AXLE,375,7,3000,2534,0
33,"3/8""-24 PIVOT AXLE LOCKNUT BO (NYLON INSERT)",375,4,3000,2524,2
34,SB-PIVOT BOLT 40Cr,375,4,2000,205,-3
35,URETHANE DAMPENING BUSHING,375,4,2000,1245,-1
36,P.A. CONICAL HANDLE (PRELOAD HANDLE),375,15,5000,4578,-4
37,M8 STEEL BO SETUP STUD DOUBLE THREAD,375,4,500,339,-3
38,M6 X14 SS BO LOW PROFILE SOCKET HEAD SCREW,375,4,1000,831,-2
39,M6 SS BO HIGH COLLAR SPLIT LOCK WASHER,375,8,2000,1490,-4
4,TRUCK WING DW-LFT,75,7,500,389,-2
40,3D MOTOR GEAR COVER,75,8,2500,68,-7
41,TS BASE FLANGE,100,40,2000,985,-34
42,TS PIVOT PLATE,100,40,2000,985,-34
43,TS HANDLE PIVOT,100,40,2000,985,-34
44,HANDLE TUBE,100,3,2000,985,6
45,GRIP (CUSTOM MOLD ASSEMBLY & CLAMP),100,6,2000,985,3
46,3D GRIP CAP,100,6,2000,985,3
49,M8 X45 SS SOCKET BOLT,100,4,2000,985,5
5,TRUCK WING DW-RT,75,7,500,489,-1
50,M5 SS LOCK WASHER (SPLIT),100,4,2000,985,5
51,M5 X30 SS BH SOCKET SCREW,100,3,4000,1985,16
52,608 LLU MAX BEARING 8 X 22 X 7,100,5,2000,970,4
53,BEARING SPACER 8 X 12 X 16 (AL),100,3,2000,985,6
54,DETENT SPRING SS 9.5  X 15,100,40,2000,985,-34
55,TS DETENT CUSTOM PIN-CYLINDER,100,40,2000,985,-34
56,M6 X40 SS FH SOCKET SCREW BO,100,4,2000,985,5
57,DETENT LEVER,100,40,2000,985,-34
58,"DELRIN GLIDE CYLINDER .25"" X 5mm",100,40,8000,3940,-4
6,MOTOR MOUNT PLATE LFT,75,7,500,9,-7
60,M8 X20 SS BH SOCKET SCREW BO,100,4,2000,985,5
61,"#10-32 X 1 1/2"" BASE PLATE SCREW SET (BZ)",100,4,2000,985,5
62,"#10-32 X 2"" BASE PLATE SCREW SET (BZ)",100,4,2000,1985,15
63,"#10-32 X 2 1/4"" BASE PLATE SCREW SET (BZ)",100,4,2000,985,5
64,M5 SS CONICAL SPRING WASHER BO,100,4,2000,985,5
65,M5 X12 SS BH SOCKET SCREW BO,100,4,2000,985,5
66,5mm RISER SPACER,100,5,4000,1970,14
67,10mm RISER SPACER,100,5,4000,1970,14
7,MOTOR MOUNT PLATE RT,75,7,500,14,-7
9,DRIVE BELT HTD 415/335 5M 15,75,40,100,78,-42
